loyalty_card_num,lifestage,premium_customer
1000,young singles / couples,premium
1002,young singles / couples,mainstream
1003,young families,budget
1004,older singles / couples,mainstream
1005,midage singles / couples,mainstream
1007,young singles / couples,budget
1009,new families,premium
1010,young singles / couples,mainstream
1011,older singles / couples,mainstream
1012,older families,mainstream
1013,retirees,budget
1016,older families,mainstream
1018,young singles / couples,mainstream
1019,older singles / couples,premium
1020,young singles / couples,mainstream
1022,older families,budget
1023,midage singles / couples,premium
1024,young singles / couples,premium
1025,young families,budget
1026,midage singles / couples,premium
1027,older families,premium
1028,young singles / couples,budget
1030,retirees,mainstream
1034,retirees,premium
1038,older families,mainstream
1039,young families,mainstream
1042,young singles / couples,premium
1043,young families,budget
1044,young families,mainstream
1046,young singles / couples,budget
1048,older families,mainstream
1050,young families,budget
1051,young singles / couples,budget
1052,midage singles / couples,budget
1053,midage singles / couples,mainstream
1054,new families,mainstream
1055,retirees,mainstream
1056,midage singles / couples,mainstream
1057,midage singles / couples,mainstream
1060,young singles / couples,mainstream
1061,older singles / couples,budget
1062,young families,premium
1064,young families,budget
1065,midage singles / couples,premium
1067,older singles / couples,mainstream
1068,young singles / couples,premium
1071,young families,mainstream
1072,new families,premium
1074,retirees,budget
1076,young singles / couples,budget
1077,older singles / couples,premium
1080,retirees,budget
1081,midage singles / couples,budget
1086,young singles / couples,budget
1087,retirees,premium
1088,young singles / couples,budget
1089,retirees,mainstream
1090,older families,budget
1091,new families,budget
1093,retirees,premium
1094,new families,budget
1095,retirees,mainstream
1096,older singles / couples,premium
1097,retirees,budget
1099,older singles / couples,premium
1101,retirees,mainstream
1102,older families,budget
1103,older families,budget
1104,retirees,mainstream
1105,retirees,premium
1107,older singles / couples,mainstream
1108,retirees,mainstream
1109,older singles / couples,mainstream
1111,retirees,premium
1113,young singles / couples,mainstream
1114,older families,premium
1115,retirees,premium
1116,older singles / couples,premium
1117,older singles / couples,mainstream
1118,retirees,mainstream
1120,young singles / couples,mainstream
1121,older singles / couples,premium
1122,older singles / couples,budget
1123,midage singles / couples,mainstream
1124,retirees,mainstream
1125,older singles / couples,premium
1127,retirees,mainstream
1133,young families,budget
1134,retirees,mainstream
1136,older families,budget
1137,midage singles / couples,premium
1139,older singles / couples,premium
1140,retirees,mainstream
1141,young singles / couples,mainstream
1142,older families,premium
1143,older families,budget
1146,young singles / couples,premium
1147,new families,premium
1149,young families,mainstream
1150,young singles / couples,budget
1152,retirees,budget
1155,older singles / couples,budget
1156,retirees,premium
1158,older singles / couples,mainstream
1159,young singles / couples,mainstream
1161,young singles / couples,mainstream
1163,young singles / couples,mainstream
1164,young singles / couples,mainstream
1165,young singles / couples,budget
1168,young singles / couples,premium
1169,new families,budget
1170,older families,mainstream
1171,retirees,mainstream
1172,older families,mainstream
1173,retirees,mainstream
1174,older singles / couples,budget
1177,young singles / couples,mainstream
1178,retirees,mainstream
1179,young singles / couples,mainstream
1181,young singles / couples,premium
1182,young singles / couples,budget
1183,young singles / couples,budget
1184,midage singles / couples,budget
1186,new families,budget
1187,young families,budget
1188,retirees,mainstream
1189,retirees,budget
1190,older families,budget
1191,young singles / couples,mainstream
1192,young singles / couples,budget
1193,young singles / couples,mainstream
1196,young families,premium
1197,retirees,premium
1199,retirees,mainstream
1201,older singles / couples,mainstream
1202,young families,premium
1203,older families,mainstream
1205,retirees,premium
1206,new families,mainstream
1209,midage singles / couples,premium
1210,young singles / couples,mainstream
1211,older singles / couples,premium
1212,new families,mainstream
1216,older families,mainstream
1218,older singles / couples,budget
1219,older singles / couples,premium
1223,older singles / couples,mainstream
1224,midage singles / couples,mainstream
1225,young singles / couples,budget
1226,older families,budget
1228,midage singles / couples,mainstream
1229,young singles / couples,premium
1232,retirees,mainstream
1233,young families,mainstream
1235,older families,budget
1236,midage singles / couples,mainstream
1238,older singles / couples,premium
1239,older families,mainstream
1240,older singles / couples,premium
1241,retirees,mainstream
1242,older singles / couples,budget
1243,young families,budget
1244,retirees,budget
1246,young singles / couples,mainstream
1247,retirees,premium
1248,retirees,budget
1250,older families,budget
1254,retirees,budget
1256,young families,mainstream
1257,midage singles / couples,mainstream
1259,young families,premium
1262,retirees,premium
1263,young singles / couples,budget
1266,older singles / couples,mainstream
1267,young singles / couples,mainstream
1270,retirees,budget
1272,older singles / couples,premium
1273,young singles / couples,mainstream
1274,retirees,mainstream
1275,retirees,mainstream
1276,midage singles / couples,mainstream
1277,older singles / couples,premium
1278,new families,mainstream
1280,older singles / couples,budget
1281,older families,budget
1282,young singles / couples,budget
1283,older families,budget
1284,young families,mainstream
1285,young singles / couples,mainstream
1286,young singles / couples,mainstream
1287,retirees,mainstream
1288,older families,budget
1289,young singles / couples,premium
1290,retirees,budget
1291,young singles / couples,mainstream
1292,retirees,premium
1293,older singles / couples,budget
1294,retirees,budget
1297,young singles / couples,mainstream
1298,young families,mainstream
1303,young singles / couples,mainstream
1305,young singles / couples,budget
1306,retirees,budget
1307,midage singles / couples,budget
1308,young singles / couples,mainstream
1310,older singles / couples,budget
1312,older singles / couples,mainstream
1313,young singles / couples,budget
1314,young singles / couples,budget
1317,older families,premium
1318,new families,mainstream
1320,young singles / couples,premium
1324,young singles / couples,budget
1326,retirees,mainstream
1327,retirees,mainstream
1330,retirees,premium
1333,new families,budget
1335,young singles / couples,budget
1336,retirees,budget
1337,retirees,mainstream
1338,young singles / couples,mainstream
1339,older families,premium
1341,young families,mainstream
1342,retirees,mainstream
1343,midage singles / couples,budget
